Term	es	nes	pval	fdr	geneset_size	matched_size	genes	ledge_genes
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.5294079521835915	3.9625428424558784	0.001098901098901099	0.044298527146007766	141	127	ATP5E;PDHB;ATP5B;NDUFA4;COX6C;NDUFA8;ATP5I;SDHB;IDH3B;UCP2;UQCRFS1;NDUFA2;ATP5O;NDUFA10;ATP5H;COX7A2L;IDH3G;IDH2;COX5A;NDUFA6;IDH1;ATP5J2;NDUFB7;NDUFA12;NDUFC1;CS;LDHB;SLC16A8;COX7C;NDUFB1;FH;NDUFA11;NDUFAB1;ATP5J;ETFDH;ETFB;NDUFB5;SUCLG1;UQCRC1;ATP5G1;ND1;NDUFS7;COX7B;NDUFS2;DLST;UQCRC2;ADHFE1;ND5;SDHC;ATP5A1;UQCRB;NDUFA7;ND4L;LOC727947;NDUFS1;NDUFS3;DLAT;NDUFB6;ND2;COX4I1;UCP3;CYTB;SDHA;NDUFV2;COX6A1;ETFA;NDUFB8;ND4;NDUFA5;ATP8;LOC283398;L2HGDH;COX8A;ATP6;IDH3A;DLD;UQCRQ;UQCRH;NDUFS5;PDK2;NDUFA3;NDUFS8;COX5B;ND6;CYCS;NDUFB2;ATP5L;ATP5F1;PDP2;LDHA;COX1;NDUFB10;ND3;PDHA1;OGDH;SLC16A1;SUCLG2;COX2;ACO2;BSG;PDK4;SLC16A3;NDUFS4;PDK1;UCP1;NDUFC2;SUCLA2;NDUFB9;NDUFS6;NDUFV3;NDUFB4;ATP5D;PDPR;NDUFA1;ATP5C1;PDK3;NDUFA9;COX6B1;NDUFV1;MDH2;SDHD;NDUFA13;CYC1;NDUFB3;D2HGDH;PDHX;NNT	ATP5E;PDHB;ATP5B;NDUFA4;COX6C;NDUFA8;ATP5I;SDHB;IDH3B;UCP2;UQCRFS1;NDUFA2;ATP5O;NDUFA10;ATP5H;COX7A2L;IDH3G;IDH2;COX5A;NDUFA6;IDH1;ATP5J2;NDUFB7;NDUFA12;NDUFC1;CS;LDHB;SLC16A8;COX7C;NDUFB1;FH;NDUFA11;NDUFAB1;ATP5J;ETFDH;ETFB;NDUFB5;SUCLG1;UQCRC1;ATP5G1;ND1;NDUFS7;COX7B;NDUFS2;DLST;UQCRC2;ADHFE1;ND5;SDHC;ATP5A1
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM	0.5050583346830467	3.966560690517342	0.0	0.04451350715214026	159	154	KDSR;POLE3;MRPL3;SERP1;NAE1;CBX3;ALG8;ADSS;SLC39A6;PSMG1;NUP210;NUPL1;CSNK1E;SEC13;YARS;CSDA;G3BP2;HSPD1;UBE2N;TRIAP1;DCTD;GNL2;OAT;LDHB;KIAA0020;PTGES3;IPO5;IARS;TXN;BLMH;NOP16;TOMM20;PDIA6;FH;H2AFY;MNT;GLOD4;RANBP1;PFDN4;UBE2G1;FBXO21;EIF4E;OTUD4;GARS;EPRS;CNBP;TIAL1;BTF3;DEAF1;COPS2;EIF2S1;HDAC2;SMARCC1;TOMM70A;APP;COX11;MAD2L1;PMPCB;NUP98;DDX10;TTC35;CCT8;PRPS1;AFG3L2;C5orf30;FAM120A;AUH;RAN;SERBP1;ISCA1;U2AF1;ETF1;ATP13A3;DNAJC2;DARS;EIF3A;CYP2A13;NDUFB6;CCT2;NR2F2;ZBTB11;NUFIP1;DHX9;AASDHPPT;PNO1;ACTL6A;IDH3A;ZZZ3;NGDN;API5;RNF114;PGAM1;SARS;CYCS;KPNA2;SLC25A17;HNRNPA1;BUB3;CTAGE5;TGDS;PSMD14;ALX1;XPOT;YY1;FBXO9;HIRA;TFAM;SLC16A1;ACVR1B;CHERP;SNRPF;DDX1;TFAP4;CCT5;C12orf29;EEF1E1;EXOSC8;DCUN1D4;TARS;DDX19A;HPRT1;ANP32B;ZNF330;ZMPSTE24;ZC3H14;IARS2;FASTKD2;HK2;ACP1;ATP5C1;RMND5A;PRMT3;NOLC1;HSPE1;PWP1;ITPA;UBA2;WRN;TCERG1;UBE2K;SLC3A2;EIF4A3;USP10;RABGGTB;LYPLA1;SSB;CEBPB;ATXN10;ZC3H15;EI24;SSBP1;MTHFD2;NUP153;NUP93	KDSR;POLE3;MRPL3;SERP1;NAE1;CBX3;ALG8;ADSS;SLC39A6;PSMG1;NUP210;NUPL1;CSNK1E;SEC13;YARS;CSDA;G3BP2;HSPD1;UBE2N;TRIAP1;DCTD;GNL2;OAT;LDHB;KIAA0020;PTGES3;IPO5;IARS;TXN;BLMH;NOP16;TOMM20;PDIA6;FH;H2AFY;MNT;GLOD4;RANBP1;PFDN4;UBE2G1;FBXO21;EIF4E;OTUD4;GARS;EPRS;CNBP;TIAL1;BTF3;DEAF1;COPS2;EIF2S1;HDAC2;SMARCC1;TOMM70A;APP;COX11;MAD2L1;PMPCB;NUP98;DDX10;TTC35;CCT8;PRPS1;AFG3L2;C5orf30;FAM120A;AUH;RAN;SERBP1;ISCA1;U2AF1;ETF1
TOMLINS_PROSTATE_CANCER_UP	0.6547115087160997	3.956762172063789	0.0	0.04461751279582805	40	39	SEC16A;UGDH;PPIB;BDH1;CNPY2;SLC25A6;GNB2L1;AMACR;CAMKK2;ZNF217;SOX4;MBOAT2;EEF2;GUSB;CACNA1D;ERG;BICD1;ZNF652;PARG;EIF4A1;NACA;SND1;GUCY1A3;DAPK1;TRIM27;CXADR;RAB11A;HSD17B4;KRT18;CANX;ATP6V1G1;MYO6;DKC1;MCCC2;UAP1;PAICS;PDLIM5;RPL31;F2R	SEC16A;UGDH;PPIB;BDH1;CNPY2;SLC25A6;GNB2L1;AMACR;CAMKK2;ZNF217;SOX4;MBOAT2;EEF2;GUSB;CACNA1D;ERG;BICD1;ZNF652;PARG
REACTOME_METABOLISM_OF_MRNA	0.5377361648947698	3.950667996080667	0.0005549389567147614	0.044945065119083666	284	212	RPL10A;RPS27;TNKS1BP1;KHSRP;RPL30;PSMB5;PSMA7;RPS15A;PSMC6;RPS29;RPL8;XPO1;NCBP2;RPS16;YWHAZ;RPL4;RPS18;LSM1;RPL39;UPF2;LSM2;RPL18;SMG6;LOC653881;PABPC1;PSMA5;RPSA;FAU;RPL22;UPF3B;RPS5;RPL7;PSMD6;ANP32A;CNOT4;EXOSC6;HSPA8;PSME4;RPL18A;RPS13;PSMC3;SMG1;RPS15;RPS25;AKT1;PSMD10;RPL36A;HNRNPD;PAIP1;PATL1;RPL29;RPS17;PPP2CA;RPL23;RPS23;XRN1;MAPK11;RPL7A;RPS20;LSM3;DDX6;RPS3;PSMA1;RPL9;EDC3;EXOSC3;SMG5;RPLP2;EIF4E;RPS14;DCP1B;RPL32;RPL37A;RPLP1;EXOSC5;LSM4;RPL26;RPL24;RPS19;RPL13;PSMB2;RPL12;RPS10;RPL23A;RPL19;PARN;RPL5;RNPS1;CNOT7;RPS4Y1;RPL13A;DCP1A;PSMD12;RPS8;ETF1;RPS9;RPL15;RPS6;EIF4A1;PSMD11;EXOSC7;TNFSF13;RPS27A;RPS28;PSMC2;EXOSC1;RPL14;PSMB8;PSME2;PSMB10;RPL41;UBA52;PSMD5;CNOT8;PSMD3;TNPO1;RPL35;LOC645139;PSMD13;EIF4B;ELAVL1;RPLP0;RPS2;EIF4G1;LSM6;PPP2R1A;NCBP1;RPL17;LSM5;RPL3;PSMF1;PSMB4;PSMB6;PSMD8;CNOT10;PSMB3;HSPA1B;PSMB9;RPL38;PSMD4;RPS7;EXOSC2;RPL37;NUP214;PSMD9;PSMC1;PSME1;RPL26L1;MAGOH;PSMB7;RPS26;C2orf29;RPS24;PSMD14;RPS11;EXOSC4;CNOT6;RPL34;RPL21;RPS4X;EIF4A2;PSMA2;PRKCD;RBM8A;PSMD1;RPS21;PRKCA;MAPK14;EXOSC8;LOC643446;RPL6;PSMD7;RPL36;CASC3;RPL27;PSMA3;PSMD2;PSMA8;PSMC4;HSPB1;RPL28;RPL3L;PSMB1;UPF3A;DIS3;RPL27A;RPL35A;LOC645947;RQCD1;RPL10;RPS12;SMG7;CNOT2;EDC4;GSPT2;RPS3A;EIF4A3;DCP2;PPP2R2A;PSMA6;RPL31;PSMC5;FAM153A;YWHAB;PSMA4;DCPS;ZFP36L1;ZFP36;CNOT3;MAPKAPK2;EXOSC9;RPL11	RPL10A;RPS27;TNKS1BP1;KHSRP;RPL30;PSMB5;PSMA7;RPS15A;PSMC6;RPS29;RPL8;XPO1;NCBP2;RPS16;YWHAZ;RPL4;RPS18;LSM1;RPL39;UPF2;LSM2;RPL18;SMG6;LOC653881;PABPC1;PSMA5;RPSA;FAU;RPL22;UPF3B;RPS5;RPL7;PSMD6;ANP32A;CNOT4;EXOSC6;HSPA8;PSME4;RPL18A;RPS13;PSMC3;SMG1;RPS15;RPS25;AKT1;PSMD10;RPL36A;HNRNPD;PAIP1;PATL1;RPL29;RPS17;PPP2CA;RPL23;RPS23;XRN1;MAPK11;RPL7A;RPS20;LSM3;DDX6;RPS3;PSMA1;RPL9;EDC3;EXOSC3;SMG5;RPLP2;EIF4E;RPS14;DCP1B;RPL32;RPL37A;RPLP1;EXOSC5;LSM4;RPL26;RPL24;RPS19;RPL13;PSMB2;RPL12;RPS10;RPL23A;RPL19;PARN
STEIN_ESRRA_TARGETS_DN	0.49592865464318026	3.9684168510285307	0.0005411255411255411	0.045346823986368884	105	100	NAP1L1;ZHX3;SIGMAR1;PATZ1;C4orf27;GNPDA1;LAMB1;CIZ1;BRD3;MORC2;CLDN3;CDC23;OCLN;FAM174B;DCTD;RHBDF1;CYP1B1;BOP1;TRAM2;KANK2;MARCKS;PPL;PMM1;SLC37A4;BMP7;FAM115A;TFE3;TUBD1;DBNDD1;C17orf62;RABIF;TERF1;RFXANK;SMARCC1;PRKD2;LRRC41;KIAA0494;FZD2;BPTF;HIST1H2BI;DGUOK;MID1;ANXA2P3;KIDINS220;NR2F2;MXD4;UCK2;CST6;TRIO;CLDN1;GATAD1;ZNF24;VANGL1;ZNF45;PDCL;ASB6;DAXX;ARID4A;HEXIM1;ATG2B;EXOSC2;NOL6;FGFR3;PRPS2;CCNG2;CAV2;CSNK1G2;INTS12;TNFAIP8;MYO6;ADRA2C;ZNF134;TGFBR2;PHIP;HLA-E;GFPT1;TUBB6;PLAU;VDR;B3GNT1;MBD4;TRIM8;ZNF7;PEA15;SEC14L1;HIST1H2BG;GTF2B;C12orf5;DHX40;PRKAR2B;TACC1;SLCO1A2;SEPT8;TNFRSF11B;SSB;RGS19;PLS1;YPEL5;FTSJD2;MSH6	NAP1L1;ZHX3;SIGMAR1;PATZ1;C4orf27;GNPDA1;LAMB1;CIZ1;BRD3;MORC2;CLDN3;CDC23;OCLN;FAM174B;DCTD;RHBDF1;CYP1B1;BOP1;TRAM2;KANK2;MARCKS;PPL;PMM1;SLC37A4;BMP7;FAM115A;TFE3;TUBD1;DBNDD1;C17orf62;RABIF;TERF1;RFXANK;SMARCC1;PRKD2;LRRC41;KIAA0494;FZD2
REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT	0.631427948771335	3.969035671398667	0.0	0.04675029408996058	33	33	CPSF1;NUP133;NCBP2;NUP210;NUPL1;NUP43;NUP88;THOC4;RANBP2;NUPL2;CPSF2;NUP37;EIF4E;NXF1;POM121;CPSF3;NUP54;NUP155;NUP50;NUP62;AAAS;RAE1;NCBP1;NUP188;NUP214;TPR;NUP107;NUP85;NUP205;NUP35;NUP153;NUP93;SEH1L	CPSF1;NUP133;NCBP2;NUP210;NUPL1;NUP43;NUP88;THOC4;RANBP2;NUPL2;CPSF2;NUP37;EIF4E;NXF1;POM121;CPSF3;NUP54;NUP155;NUP50;NUP62
LANDIS_BREAST_CANCER_PROGRESSION_UP	0.5937084100783342	3.972711898225399	0.0005518763796909492	0.04729158678320818	44	44	SERP1;DAP;FAM134B;GOLPH3;LITAF;ELL2;XBP1;CLDN3;CLDN7;CYB561;TPD52;RNF149;SOX4;IRX3;GALNT3;STRBP;IRF6;SHROOM3;EBP;CD82;KCNN4;CHMP2B;SRP19;AIM1;LCN2;FXYD3;PQLC1;DSG2;ATP6V1A;ALDOC;TFAP2C;SPINT1;LSR;EHF;C11orf34;VDR;WWC1;ATP6AP2;SS18L2;CMAS;ACSL4;NUCB2;LRRFIP1;ID2	SERP1;DAP;FAM134B;GOLPH3;LITAF;ELL2;XBP1;CLDN3;CLDN7;CYB561;TPD52;RNF149;SOX4;IRX3;GALNT3;STRBP;IRF6;SHROOM3;EBP;CD82;KCNN4
HSIAO_HOUSEKEEPING_GENES	0.5457859295319599	3.9831360012591284	0.0016538037486218302	0.04756984767170317	389	384	EZR;RPL10A;ATP5B;NCL;NAP1L1;NDUFA4;RAC1;ATOX1;COX6C;NONO;HLA-DOA;UBC;BECN1;PSMB5;KARS;GDI2;UBB;RPS15A;RPS29;RPL8;XPO1;MORF4L2;ATP5O;RPA2;RPL36AL;CTDSP2;RPS16;YWHAZ;ARF4;RFTN1;COX7A2;CD63;RPL4;RPS18;SLC25A6;GNB2L1;RPL39;GPX1;ARHGDIB;RPL18;H2AFZ;EIF3E;MYH9;IRAK1;UBE2D3;PABPC1;EIF4G2;YWHAQ;NFKBIA;RPSA;XBP1;HNRNPL;TAX1BP1;AAMP;PRDX1;VPS72;RPS5;TAGLN2;HSPD1;SERPINB6;ECHS1;ARL6IP1;TMED10;LTA4H;CETN2;RPL7;PTDSS1;NDUFA12;DHPS;RPL18A;TMSB4X;CD164;FBL;FUCA1;ERH;DDT;SON;RPS15;RPS25;LDHB;COPA;CYB5R3;MGP;AES;CD74;RPL36A;RHOA;RPL29;RPS17;PSAP;ESD;RPL23;TXN;NDRG1;MARCKS;RPS23;HNRNPF;RPL7A;COX7C;QARS;PARP1;RPS3;OS9;RPL9;AARS;EEF2;CSTB;GUSB;JUND;RPLP2;SF1;RPS14;ARHGAP1;ABLIM1;SNRPD2;RPL32;HNRNPC;PSD;CCNI;SET;RPL37A;CLTC;S100A10;HMGB1;FYN;RPLP1;FTH1;CALM2;STAT3;RPL24;STOM;STMN1;ZNF91;GLUL;HSP90AA1;DDB1;EEF1G;ATP5G1;RPS19;CST3;PDLIM1;RPL13;ACTG1;PSMB2;RPL12;C1QBP;SURF1;RPS10;RPL19;WARS;TPT1;HNRNPK;CD34;ENO1;CHKB;ATF4;HLA-DPA1;GNAS;PFN1;DDX5;PTMA;TMSB10;VIM;SEPW1;PTP4A2;EEF1A1;DYNLL1;PHB2;DUSP1;RPL13A;CTNNB1;ATP5A1;NCOR2;TMBIM6;RPS8;BCLAF1;RPS9;FUS;RPS6;AGPAT1;EIF4A1;SNRNP70;UQCRB;RPS27A;RPS28;SSR2;ITGB1;TXNIP;NACA;RPL14;BCAP31;HLA-DRA;RPL41;TUBB;UBA52;FTL;SLC25A5;COX4I1;MGST2;CLIC1;PEBP1;MLF2;NEFL;SOD1;CCT4;CFL1;DCTN2;DSTN;NDUFV2;VDAC2;NFIB;NEDD8;RPL35;H3F3B;ANXA11;SF3B2;MDH1;HINT1;RPLP0;COX6A1;B2M;RPS2;ACTB;FLNA;NPC2;FCGRT;GNB1;RPL17;COX10;OAZ1;RPL3;CLTA;ANXA2;SERPINA3;DAZAP2;COX8A;PTPN6;PCBP2;IFITM1;POLR2L;PSMB4;ATP6V1F;GSTO1;PSMB6;ATP5G2;PSMD8;PSMB3;UQCRH;GAPDH;ARF3;RPL38;FKBP1A;PGAM1;JOSD1;CIRBP;SARS;RPS7;COPS6;TCEA1;HNRNPA1;SCN1B;PSMC1;EEF1D;MPRIP;PSME1;CAPNS1;HLA-A;HYAL2;ATP5F1;TPR;RPS26;CANX;ARPC2;APLP2;HMGN2;RPS11;GPX4;PRDX6;APEX1;MAZ;SQSTM1;RPL34;PSEN1;RPL21;LDHA;UBA1;GPS1;LGALS3;EIF4A2;NCSTN;UBE2C;IQGAP1;PLP2;USP11;FHL1;YWHAH;CLU;RPS21;BUD31;EIF4H;SLC25A3;FAS;RPL6;PSMD7;HLA-E;DVL3;SRP14;JUNB;ARAF;CASC3;RPL27;ATIC;DARC;MSN;HDAC1;PSMD2;CAP1;RPN2;SLC6A8;EEF1B2;CAPN2;AP3S1;ANP32B;LASP1;TRAF4;MT2A;CAPZA1;HSPB1;HTRA1;PI4KA;RPL28;PFDN5;CHI3L2;FMOD;PIM1;SPTBN1;LGALS1;EIF3F;PPIA;CD151;RPL27A;RPL35A;ATP5G3;YBX1;CD81;HSP90AB1;ATP5C1;CES2;ILK;GSTP1;ISG20;ITPK1;ARF1;COX6B1;FNTA;RPS3A;GPS2;PGK1;CSNK2B;EIF4A3;PAX6;SEPT2;MLH1;EIF1;FKBP4;RER1;TRIM28;BRD2;ALDOA;RPL31;COMT;CCND2;SSB;LAMP1;YWHAB;CAST;SEC61B;ZFP36;CCR9;BTG2;NPM1;RPL11;CD3E;RBPMS	EZR;RPL10A;ATP5B;NCL;NAP1L1;NDUFA4;RAC1;ATOX1;COX6C;NONO;HLA-DOA;UBC;BECN1;PSMB5;KARS;GDI2;UBB;RPS15A;RPS29;RPL8;XPO1;MORF4L2;ATP5O;RPA2;RPL36AL;CTDSP2;RPS16;YWHAZ;ARF4;RFTN1;COX7A2;CD63;RPL4;RPS18;SLC25A6;GNB2L1;RPL39;GPX1;ARHGDIB;RPL18;H2AFZ;EIF3E;MYH9;IRAK1;UBE2D3;PABPC1;EIF4G2;YWHAQ;NFKBIA;RPSA;XBP1;HNRNPL;TAX1BP1;AAMP;PRDX1;VPS72;RPS5;TAGLN2;HSPD1;SERPINB6;ECHS1;ARL6IP1;TMED10;LTA4H;CETN2;RPL7;PTDSS1;NDUFA12;DHPS;RPL18A;TMSB4X;CD164;FBL;FUCA1;ERH;DDT;SON;RPS15;RPS25;LDHB;COPA;CYB5R3;MGP;AES;CD74;RPL36A;RHOA;RPL29;RPS17;PSAP;ESD;RPL23;TXN;NDRG1;MARCKS;RPS23;HNRNPF;RPL7A;COX7C;QARS;PARP1;RPS3;OS9;RPL9;AARS;EEF2;CSTB;GUSB;JUND;RPLP2;SF1;RPS14;ARHGAP1;ABLIM1;SNRPD2;RPL32;HNRNPC;PSD;CCNI;SET;RPL37A;CLTC;S100A10;HMGB1;FYN;RPLP1;FTH1;CALM2;STAT3;RPL24;STOM;STMN1;ZNF91;GLUL;HSP90AA1;DDB1;EEF1G;ATP5G1;RPS19;CST3;PDLIM1;RPL13;ACTG1;PSMB2;RPL12;C1QBP;SURF1;RPS10;RPL19;WARS;TPT1;HNRNPK;CD34;ENO1;CHKB;ATF4;HLA-DPA1;GNAS;PFN1;DDX5;PTMA;TMSB10;VIM;SEPW1;PTP4A2;EEF1A1
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	0.647733368845681	3.99614485985736	0.0	0.04768153495492937	29	29	DPM1;ALG8;DPAGT1;DOLK;GNPNAT1;DPM2;DPM3;GFPT2;ALG5;PMM1;PGM3;ALG12;ALG10B;RFT1;PMM2;ALG3;ALG9;ALG6;ALG1;ALG2;MPI;ALG14;ALG11;GMPPA;LOC285407;ALG13;GMPPB;ALG10;DOLPP1	DPM1;ALG8;DPAGT1;DOLK;GNPNAT1;DPM2;DPM3;GFPT2;ALG5;PMM1;PGM3;ALG12;ALG10B;RFT1
SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP	0.45123064387207146	4.000762391922911	0.0005583472920156337	0.04805777542033659	479	462	AP1B1;TBCA;TRA2A;EZR;NAP1L1;PPIB;COX6C;SPAG5;LCP2;NONO;HAGH;KHSRP;H2AFX;PSMB5;ATP5I;DPAGT1;UCP2;HMGCS1;H2AFV;MORF4L2;FTSJ2;RTN4;NDUFA2;DVL1;STAT2;MEF2D;AHCY;RPL4;HNRNPA2B1;IFNGR1;IMPDH1;RPL39;TXN2;ZNF232;GPX1;CSNK1E;ARHGDIB;MARCKSL1;FAM48A;BCAT2;RAB1B;ENSA;LUC7L;HNRNPL;SNRPD1;FAU;RAD21;MTHFS;CSDA;ATP5J2;CCHCR1;AUP1;EPS15;NDUFB7;ACOT8;SNRNP40;HDGFRP3;PHYH;GNL2;HNRNPU;SCAND1;BAZ1B;NPC1;HES1;ERH;DDT;RPS25;SGTA;ATXN3;ALDH6A1;BANF1;ICAM3;CYB5R3;DPM3;AES;MZF1;FARSA;CD74;HNRNPD;POLE;GALE;PAIP1;HTT;TCEB2;DUS1L;ARID4B;DHCR24;RPL23;NDUFB11;RPS23;PKD1;NDUFB1;PARP1;CDC42;TSPAN3;CLIP1;MAP4;TTF2;GFER;TRIM33;MBD3;CDK5;CSTB;PSMC3IP;UBL5;MAPK12;HERC2;RPLP2;TAF6;SMARCD2;ATP5J;ARHGAP1;STOML1;ATP8B1;IFI16;TAOK3;ACOT7;SLC4A7;G3BP1;SERTAD3;RPL37A;TARBP1;HMGB1;S100A11;LSM4;VDAC3;DEAF1;CHMP1A;HMGN1;TAX1BP3;SART1;RBM39;ANXA7;ROBO1;HDAC2;UQCRC1;LTB;TUBA1A;CST3;NUDT3;OPHN1;FDXR;PTPN7;LMO2;ACTG1;C1QBP;DFNA5;RPL19;POLG;POLRMT;EBP;GTF3C1;ARID3A;TUBB3;SLC2A6;PFN1;PTMA;HIST1H2BD;NFE2L1;DBI;STT3A;PIN1;RPS6KB1;CFDP1;STK3;RPS8;SOX12;MAD1L1;RRP7A;PPA2;RPN1;RTN3;AURKA;AP3S2;POLA1;ACTA2;MUTYH;RGS14;DCXR;RPS28;NDUFA7;STIM1;RECQL4;DARS;NACA;GDI1;GOLGA2;TGIF2;AHR;PSME2;MEIS2;TUBB;POLA2;FANCA;COPG;SPA17;COX4I1;SAFB;PEBP1;B4GALT1;PNRC1;MLF2;SRP19;TP53;ZNF212;HMGB3;PTP4A1;NDUFV2;TUSC2;LDB1;CNPY3;APBA3;HNRPDL;TOP2A;ACY1;PSMD13;GCHFR;DMXL1;PEX14;COX6A1;B2M;NUTF2;APRT;RREB1;CD2BP2;CHUK;DDB2;ACYP1;HSPA9;NDUFB8;RGS20;VAMP2;CTTN;DDX3X;OAZ1;B4GALT2;ATPIF1;PABPC3;ICMT;BLK;RAB5B;ERCC5;PDCD5;VPS4A;PTPN6;ERCC1;MBOAT7;CRCP;CYP51A1;POMZP3;ACTL6A;SRGN;UQCRQ;IL21R;HEXIM1;ATP5G2;ZDHHC13;PSMB3;PIAS4;TESK1;KIF20A;NDUFA3;DNAJC8;PKD2;NDUFS8;FKBP2;COX5B;SNRNP200;MAP4K2;KIF22;PSMD4;DAPP1;TMC6;MYO9A;HLA-DOB;RPS7;TCEA1;CENPF;SEC22A;ZNF14;XRCC2;RPL37;HNRNPA1;CUL4A;EIF4EBP1;RRP1;NME4;HSD17B4;CD70;SMARCA4;APAF1;VRK1;CALR;EP300;PEX6;GMPS;DECR2;WWP2;CACYBP;NDC80;FGFR1OP;DNAJB5;GPX4;HMBS;ENOPH1;NCOR1;CSNK1G2;APEX2;NET1;CCR10;RRM1;STXBP2;ZBED5;FKBP3;CDC20;SCLY;TAF5;IVD;KCNK1;TEX264;UBE2C;LSS;MYL6;ADA;PMF1;PHKA2;B3GAT3;DNASE1L3;B4GALT7;TPP2;MAP2K2;CCDC85B;TROAP;TAF10;ETV5;NSDHL;PNPLA6;RPL36;SRP14;EIF4G3;RALY;SUPT5H;FBN1;DAZAP1;ATP1A1;PRDX2;ENO3;HDAC1;SGPL1;CSK;YARS2;C14orf1;NUBP2;GLUD1;MGAT3;CEPT1;CENPI;GSS;HHLA3;UGT2B17;MPST;HSPB1;FDPS;NDUFS6;VPS11;ZNF330;GNL1;DPF2;RAP2B;SFN;DHCR7;TAF15;RXRA;HMHB1;SLC12A9;NDUFB4;SRF;ATP5D;NARF;SLC39A7;GRK6;RAB8A;BLOC1S1;RBBP4;CCNF;GIPC1;ARF5;NDUFA1;EMD;RPL27A;MRPL23;SF3A2;CR2;ATP5G3;HK2;BAX;PIN4;PCK2;YBX1;FXYD2;TERF2IP;GTF2H3;SACS;POLR2I;PRIM2;NENF;TACC3;TM6SF1;GTF2F2;TCF7;CDK2AP2;ARF1;COX6B1;NUDT1;RPS27L;PPAN;AKR1A1;ARPC4;MYL6B;ZMYM2;LTA;PKN1;CD19;MEA1;DOK1;DPYSL2;HEBP2;PIGB;CYB5B;SPG7;NAGLU;BRD8;PQBP1;MTA1;CCND2;CEBPB;TOMM40;EZH2;XRCC1;FCER2;CD97;EI24;SNAP29;CALM1;IFNAR2;MACF1;PARK7;ZNF544;VASP;ACOX1;KAT5;TCOF1;NPM1;ZNF84;PGLS;CKS2;IL27RA;PTTG1;TCIRG1;CD22;E4F1;NCAPG	AP1B1;TBCA;TRA2A;EZR;NAP1L1;PPIB;COX6C;SPAG5;LCP2;NONO;HAGH;KHSRP;H2AFX;PSMB5;ATP5I;DPAGT1;UCP2;HMGCS1;H2AFV;MORF4L2;FTSJ2;RTN4;NDUFA2;DVL1;STAT2;MEF2D;AHCY;RPL4;HNRNPA2B1;IFNGR1;IMPDH1;RPL39;TXN2;ZNF232;GPX1;CSNK1E;ARHGDIB;MARCKSL1;FAM48A;BCAT2;RAB1B;ENSA;LUC7L;HNRNPL;SNRPD1;FAU;RAD21;MTHFS;CSDA;ATP5J2;CCHCR1;AUP1;EPS15;NDUFB7;ACOT8;SNRNP40;HDGFRP3;PHYH;GNL2;HNRNPU;SCAND1;BAZ1B;NPC1;HES1;ERH;DDT;RPS25;SGTA;ATXN3;ALDH6A1;BANF1;ICAM3;CYB5R3;DPM3;AES;MZF1;FARSA;CD74;HNRNPD;POLE;GALE;PAIP1;HTT;TCEB2;DUS1L;ARID4B;DHCR24;RPL23;NDUFB11;RPS23;PKD1;NDUFB1;PARP1;CDC42;TSPAN3;CLIP1;MAP4;TTF2;GFER;TRIM33;MBD3;CDK5;CSTB;PSMC3IP;UBL5;MAPK12;HERC2;RPLP2;TAF6;SMARCD2;ATP5J;ARHGAP1;STOML1;ATP8B1;IFI16;TAOK3;ACOT7;SLC4A7;G3BP1;SERTAD3;RPL37A;TARBP1;HMGB1;S100A11;LSM4;VDAC3;DEAF1;CHMP1A;HMGN1;TAX1BP3;SART1;RBM39;ANXA7;ROBO1;HDAC2;UQCRC1;LTB;TUBA1A;CST3;NUDT3;OPHN1;FDXR;PTPN7;LMO2;ACTG1;C1QBP;DFNA5;RPL19;POLG;POLRMT;EBP;GTF3C1;ARID3A;TUBB3;SLC2A6
